mol_id,pl,solvent,canonical_smiles
tadf_862,2.798740406320542,Cc1ccccc1,Cc1cc(C)c2c(c1)c1cc(C)cc(C)c1n2-c1ccc2c(c1)Oc1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C
tadf_863,2.701180827886711,Cc1ccccc1,N#Cc1c(-n2c3ccccc3c3cc(OCCCCCCn4c5ccccc5c5ccccc54)ccc32)cc(-n2c3ccccc3c3cc(OCCCCCCn4c5ccccc5c5ccccc54)ccc32)cc1-n1c2ccccc2c2cc(OCCCCCCn3c4ccccc4c4ccccc43)ccc21
tadf_864,2.525136456211813,Cc1ccccc1,O=C(c1ccccc1)c1ccc(N2c3ccccc3C(c3ccccc3)(c3ccccc3)c3ccccc32)cc1
tadf_865,2.384311538461539,C1CCOC1,O=C(c1ccccc1)c1ccc(N2c3ccccc3C(c3ccccc3)(c3ccccc3)c3ccccc32)cc1
tadf_866,2.561657024793389,ClCCl,CC(C)(C)c1ccc(-c2nnc(-c3ccccc3CCCc3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1
tadf_867,2.583004166666667,ClCCl,CC(C)(C)c1ccc(-c2nnc(-c3cccc(CCCc4ccc(N(c5ccccc5)c5ccccc5)cc4)c3)o2)cc1
tadf_868,2.561657024793389,ClCCl,CC(C)(C)c1ccc(-c2nnc(-c3ccc(CCCc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)o2)cc1
tadf_869,2.938014218009479,Cc1ccccc1,CC(C)(C)c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccc3c(=O)c4ccc(-n5c6ccccc6c6cc(-c7ccc(C(C)(C)C)cc7)ccc65)cc4n(-c4ccccc4)c3c2)cc1
tadf_870,2.87000462962963,Cc1ccccc1,CC.Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C(C)(C)C)cc4)ccc2n3-c2ccc3c(=O)c4ccc(-n5c6ccc(-c7ccc(C(C)(C)C)cc7)cc6c6cc(-c7ccc(C(C)(C)C)cc7)ccc65)cc4n(-c4ccccc4)c3c2)cc1
tadf_871,2.798740406320542,Cc1ccccc1,Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1c3c4ccccc4n4c3c(c3c5ccccc5n-2c13)C1(c2ccccc2-c2ccccc21)c1cc(C)ccc1-4
tadf_872,3.986630225080386,ClCCl,O=P(c1ccccc1)(c1ccccc1)c1ccc(Oc2ccccc2)c(P(=O)(c2ccccc2)c2ccccc2)c1
tadf_873,2.126658662092625,Cc1ccccc1,N#Cc1ccc(-c2cc3nc4c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5c5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)ccc5c4nc3cc2-c2ccc(C#N)cc2)cc1
tadf_874,2.736958057395144,Cc1ccccc1,Cc1cccc(C)c1N(c1cc2c3c(c1)N(c1c(C)cccc1C)c1c(ccc4c1oc1ccccc14)B3c1ccc3c(oc4ccccc43)c1N2c1c(C)cccc1C)c1cccc2c1oc1ccccc12
tadf_875,2.677844492440605,Cc1ccccc1,Cc1cccc(C)c1N(c1cc2c3c(c1)N(c1c(C)cccc1C)c1c(ccc4c1sc1ccccc14)B3c1ccc3c(sc4ccccc43)c1N2c1c(C)cccc1C)c1cccc2c1sc1ccccc12
tadf_876,2.393517374517375,ClCCl,c1ccc2c(c1)Sc1ccccc1N2c1cnc2nc3c(nc2c1)-c1cccc2cccc-3c12
