_id|doi|solvent|standard_value|corrected|solvent_smiles|eV|canonical_smiles
522|https://doi.org/10.1039/D4TC03503H|toluene|393.0|0|Cc1ccccc1|3.154814249363868|CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5cccnc54)cc(c31)O2
523|https://doi.org/10.1039/D4TC03503H|toluene|392.0|0|Cc1ccccc1|3.162862244897959|CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5ccncc54)cc(c31)O2
524|https://doi.org/10.1039/D4TC03503H|toluene|391.0|0|Cc1ccccc1|3.170951406649617|CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5cnccc54)cc(c31)O2
527|https://doi.org/10.1039/D4NJ03124E|CH2Cl2|462.0|1|ClCCl|2.683640692640693|N#Cc1ccc2c(c1)c1ccccc1n2-c1ccccc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1
529|https://doi.org/10.1039/D4NJ03124E|CH2Cl2|490.0|0|ClCCl|2.530289795918367|N#Cc1cccc2c1c1ccccc1n2-c1ccccc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1
539|https://doi.org/10.1039/C9TC02618E|THF|403.0|0|C1CCOC1|3.076531017369727|N#Cc1c(-n2c3ccccc3c3ccccc32)cccc1-n1c2ccccc2c2ccccc21
540|https://doi.org/10.1039/C9TC02618E|THF|453.0|0|C1CCOC1|2.736958057395144|N#Cc1c(-n2c3ccccc3c3ccccc32)cc(-c2ccc(-n3c4ccccc4c4ccccc43)c(C#N)c2-n2c3ccccc3c3ccccc32)cc1-n1c2ccccc2c2ccccc21
541|https://doi.org/10.1039/C9TC02618E|THF|490.0|0|C1CCOC1|2.530289795918367|N#Cc1c(-n2c3ccccc3c3ccccc32)cc(-c2cc(-n3c4ccccc4c4ccccc43)c(C#N)c(-n3c4ccccc4c4ccccc43)c2)cc1-n1c2ccccc2c2ccccc21
542|https://doi.org/10.1039/C7QM00605E|dichloromethane|420.0|0|ClCCl|2.952004761904762|Brc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
543|https://doi.org/10.1039/C7QM00605E|dichloromethane|434.0|0|ClCCl|2.856778801843318|c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc(-c6ccc7c(c6)-c6ccccc6C76c7ccccc7-c7ccccc76)ccc54)cc3)n2)cc1
544|https://doi.org/10.1039/D2CC00998F|toluene|529.0|0|Cc1ccccc1|2.343746691871456|Cn1c2ccccc2c2c(-c3c(O)ccc4c3c3ccccc3n4C)c(O)ccc21
545|https://doi.org/10.1039/C8TC01656A|toluene|535.0|0|Cc1ccccc1|2.317461682242991|CC1(C)C(=O)c2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)cc2C1=O
546|https://doi.org/10.1039/C8TC01656A|toluene|544.0|0|Cc1ccccc1|2.279121323529412|CC1(C)C(=O)c2cc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)cc2C1=O
547|https://doi.org/10.1039/D2TC01233B|DCM|633.0|0|ClCCl|1.958676145339653|c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5nc6ccccc6n5-c5ccccc5)cc4)c4nsnc34)cc2)cc1
548|https://doi.org/10.1039/D2TC01233B|DCM|638.0|0|ClCCl|1.943326018808778|c1ccc(-c2nc(-c3ccc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c5nsnc45)cc3)n(-c3ccccc3)c2-c2ccccc2)cc1
549|https://doi.org/10.1039/C6TC00385K|chloroform|379.0|0|ClC(Cl)Cl|3.27135092348285|c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1
550|https://doi.org/10.1039/C6TC00385K|chloroform|378.0|0|ClC(Cl)Cl|3.280005291005291|c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1
